origin_link,outgoing_link,origin_title,outgoing_title
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Characteristic_value',b'Linear algebra',b'Characteristic value'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Determinant',b'Linear algebra',b'Determinant'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Invertible_matrix',b'Linear algebra',b'Invertible matrix'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Inverse_element',b'Linear algebra',b'Inverse element'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Nullspace',b'Linear algebra',b'Nullspace'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Cramer%27s_rule',b'Linear algebra',"b""Cramer's rule"""
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gaussian_elimination',b'Linear algebra',b'Gaussian elimination'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Standard_basis',b'Linear algebra',b'Standard basis'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Matrix_(mathematics)',b'Linear algebra',b'Matrix (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Similar_(linear_algebra)',b'Linear algebra',b'Similar (linear algebra)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Coordinate_system',b'Linear algebra',b'Coordinate system'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_combination',b'Linear algebra',b'Linear combination'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Cardinality',b'Linear algebra',b'Cardinality'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Dimension_(vector_space)',b'Linear algebra',b'Dimension (vector space)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Well-defined',b'Linear algebra',b'Well-defined'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Dimension_theorem_for_vector_spaces',b'Linear algebra',b'Dimension theorem for vector spaces'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linearly_independent',b'Linear algebra',b'Linearly independent'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Basis_(linear_algebra)',b'Linear algebra',b'Basis (linear algebra)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Axiom_of_choice',b'Linear algebra',b'Axiom of choice'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Rationals',b'Linear algebra',b'Rationals'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_span',b'Linear algebra',b'Linear span'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_subspace',b'Linear algebra',b'Linear subspace'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Nullspace',b'Linear algebra',b'Nullspace'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_combination',b'Linear algebra',b'Linear combination'
